ra,dec,u,g,r,i,z,class,redshift,plate,mjd,fiberid
204.974530241736,-0.954765960930843,18.78919,17.82208,17.53791,17.34827,17.26361,GALAXY,0.04669247,299,51671,284
212.154969208118,-0.920707516918656,19.21972,17.75347,17.05206,16.68152,16.41764,GALAXY,0.08305207,302,51688,90
212.551214838242,-0.873587925425286,18.85443,18.0968,17.75281,17.62225,17.46928,GALAXY,0.02532009,302,51688,19
212.610101318346,-0.836013753531675,18.33852,17.65075,17.59324,17.51377,17.30345,QSO,2.368104,4034,55635,256
212.627011178706,-0.844866370464404,18.51496,17.25798,17.1038,17.08139,17.10546,STAR,0.0006417328,303,51615,283
212.636402150777,-0.841844093295692,18.67809,17.57128,17.28152,17.02172,17.07775,GALAXY,0.02541754,302,51688,6
213.03389024273,-1.00499941860312,19.2363,17.78179,17.03972,16.61317,16.3204,GALAXY,0.07704814,303,51615,298
213.272327046789,-0.846234466383776,17.0147,15.99366,15.48615,15.22001,14.9992,GALAXY,0.0257723,303,51615,201
213.287818155726,-0.892008166891105,18.69607,17.20348,16.34765,15.89772,15.54553,GALAXY,0.1226594,303,51615,203
213.554877831598,-0.894392625766494,17.0012,15.13894,14.2742,13.84731,13.52538,GALAXY,0.03777667,304,51609,310
214.1248626616,-0.896404795756155,19.09467,18.04354,17.51385,17.18889,16.99958,GALAXY,0.1270055,303,51615,55
214.150921823939,-0.882800125227281,19.42079,17.95425,17.19159,16.74849,16.46587,GALAXY,0.0858703,303,51615,9
214.385622562324,-0.915114616227132,19.23596,17.94402,17.38633,17.06179,16.88092,GALAXY,0.08612453,303,51615,41
214.476413658678,-1.0174100506961,18.89009,17.30972,16.54144,16.14018,15.85692,GALAXY,0.0824898,304,51609,240
214.458834230618,-0.983807324715963,19.13045,18.07554,17.39876,17.05037,16.81816,GALAXY,0.1494965,303,51615,47
214.999231862788,-0.990438141276744,19.12783,17.06174,16.08226,15.63881,15.2848,GALAXY,0.08386301,304,51609,194
215.215789206301,-0.97402935070899,19.18164,17.60728,16.72155,16.29182,15.97524,GALAXY,0.1285111,304,51609,104
215.68322948887,-1.02871794276407,18.42219,17.16605,16.64441,16.33321,16.13047,GALAXY,0.03876558,305,51613,320
215.844453323366,-0.932006012104272,19.47774,18.12811,17.4746,17.09704,16.82658,GALAXY,0.0545384,305,51613,278
215.854497116997,-1.03608570092927,18.64782,17.582,17.13972,16.86729,16.71394,GALAXY,0.0550021,305,51613,280
215.975248715418,-0.983949066430106,18.58862,17.16551,16.52107,16.13058,15.87032,GALAXY,0.05239152,305,51613,234
215.907562345865,-1.01229633171261,19.35701,17.56778,16.64505,16.1771,15.82369,GALAXY,0.1018694,305,51613,232
215.930637524743,-0.969371848703063,19.53675,17.82798,16.91243,16.45795,16.09894,GALAXY,0.1021917,305,51613,233
216.397747570497,-1.00598178652393,17.84077,16.87843,16.57702,16.31578,16.21686,GALAXY,0.05522292,305,51613,107
216.430181192866,-0.930030534717658,18.92693,17.66947,17.09922,16.77706,16.58121,GALAXY,0.05174529,305,51613,108
216.360007930771,-0.984304134686624,19.59624,18.08451,17.35725,16.95736,16.66721,GALAXY,0.1005725,305,51613,117
216.525363622197,-0.986764177875139,19.3097,18.25607,17.87624,17.61627,17.47039,GALAXY,0.05328115,305,51613,116
216.565951089453,-0.872894148665669,18.86248,17.44011,16.705,16.3257,16.0315,GALAXY,0.08353408,305,51613,64
